序号,园区名称,入驻企业,园区面积(亩),特色产业,园区位置,所属省,所属市,所属区县
588,金桥出口加工区20号(创业路),11,74.5848,,上海市浦东新区创业路565号,上海市,,浦东新区
589,上海理工大学国家大学科技园(翔殷路),515,74.51,国家大学,翔殷路128号上海理工大学科技园内,上海市,,杨浦区
590,伊诺尔集团园区,30,74.4,,上海市闵行区浦江镇召楼路3576号,上海市,,闵行区
591,晨讯智造产业园,99,74.0442,智能制造,上海市青浦区胜利路888号,上海市,,青浦区
592,星火开发区工业厂房园区(阳明路),2783,74.0305,,上海市奉贤区阳明路9,上海市,,奉贤区
593,上海良基文化产业园,21,74,文化,上海市浦东新区绿科路158号8栋1号,上海市,,浦东新区
594,市北工业园区,295,73.7798,工业园,上海市静安区江场西路与万荣路交叉口,上海市,,静安区
595,天华信息科技园,172,73.75,,上海市徐汇区龙漕路299号,上海市,,徐汇区
596,上海国际新能源产业园,11,73.58,新能源,南桥镇宁富路699号,上海市,,奉贤区
597,上海中集车辆物流装备园,79,73.5017,物流园,上海市宝山区兰岗路276号,上海市,,宝山区
598,上海金钟电气集团工业园,99,73.0235,"电气,工业园",上海市松江区叶繁路18号,上海市,,松江区
599,大昌公路港,5,73,,上海市嘉定区外冈镇新望路1号,上海市,,嘉定区
600,联东U谷青浦国际企业港,33,72.92,,上海市青浦区拓青路405号,上海市,,青浦区
601,青冈工业1区,10,72.84,,上海市嘉定区沪宜公路5058弄,上海市,,嘉定区
602,长征金江工业园,87,72.58,工业园,上海市普陀区千阳路271弄1-21号,上海市,,普陀区
603,上海世贸商城,1124,72.56,,,上海市,,长宁区
604,上海喜讯科技园,46,72.4042,,上海市闵行区颛桥镇都会路1835号J幢,上海市,,闵行区
605,上海网谷科技园,219,72.4,,,上海市,,嘉定区
606,邦浦集团工业园,22,72.271,工业园,上海市青浦区沈家浜路111号,上海市,,青浦区
607,上海周浦智慧产业园,1798,72.2204,,上海市浦东新区沈梅路99弄7号,上海市,,浦东新区
608,新光华创智园,41,72.22,,元江路3699号,上海市,,闵行区
609,东杰创意园,61,72.1158,,上海市闵行区梅陇镇虹梅南路3509弄55号,上海市,,闵行区
610,圣东尼高科产业园,1347,71.9361,,上海市金山区山富东路,上海市,,金山区
611,梅陇镇第三工业区,330,71.85,,上海市闵行区春申路1902号,上海市,,闵行区
612,上海氢能与燃料电池产业园,9,71.79,,上海市嘉定区嘉松北路6755号附近,上海市,,嘉定区
613,上海金融科技园区,342,71.76,金融,上海市虹口区东大名路1089号,上海市,,虹口区
614,宝山工业园区(长建路),5784,71.7572,工业园,上海市宝山区长建路199号,上海市,,宝山区
615,天成环保工业园,5,71.75,"工业园,环保",上海市嘉定区泰丰路355号,上海市,,嘉定区
616,上海临港科技创业中心,2342,71.74,,上海市浦东新区海洋一路333号A座18层,上海市,,浦东新区
617,巨洲工业园,28,71.73,工业园,上海市松江区港业路558号,上海市,,松江区
618,丰树西北物流园区,5,71.682,物流园,上海市普陀区金达路428号,上海市,,普陀区
619,上海莘天工业园区,64,71.6811,工业园,上海市闵行区莘庄镇黎安路1588号,上海市,,闵行区
620,上海长兴海洋装备产业园区,6358,71.25,高端装备,上海市崇明区长兴江南大道1333号,上海市,,崇明区
621,微衡创意园,16,70.9891,,上海市松江区新桥镇申北一路16号,上海市,,松江区
622,上海康桥先进制造技术创业园,1091,70.9497,,上海市浦东新区康桥工业区秀浦路2388号,上海市,,浦东新区
623,创企天地,26,70.9,,上海市浦东新区张东路,上海市,,浦东新区
624,上海聚科生物园区,90,70.81,,上海市徐汇区漕河泾新兴技术开发区漕宝路500号,上海市,,徐汇区
625,姚记科技产业园,9,70.76,,曹安公路辅路与新庙路交叉口东北120米,上海市,,嘉定区
626,宝车荟复地·国际汽车商务园,48,70.7109,汽车,上海市宝山区淞南镇军工路5169号宝车荟复地,上海市,,宝山区
627,越界·世博园,32,70.44,,半淞园路与望达路中山北路东北40米,上海市,,黄浦区
628,嘉定温控产业园,379,70.389,,上海市嘉定区胜辛南路801号,上海市,,嘉定区
629,全方位科技园,48,70.0931,,上海市闵行区都会路1699号,上海市,,闵行区
630,上海西郊现代服务园,700,69.89,,金沙江西路1555弄376号红色写字楼附近,上海市,,嘉定区
631,联强国际,39,69.87,,上海市长宁区天山西路1068号(近协和路),上海市,,长宁区
632,启迪漕河泾(中山)科技园紫荆园,1533,69.81,,明南路85号,上海市,,松江区
633,新宝产业园,742,69.79,,上海市奉贤区大叶公路7888号,上海市,,奉贤区
634,复旦科技园(密云路),40,69.79,,上海市杨浦区密云路1018号上海3310科技园国泰基地,上海市,,杨浦区
635,松港产业园,55,69.737,,上海市浦东新区康桥东路1159弄105号,上海市,,浦东新区
636,环创中心,115,69.69,,隆昌路与周家嘴路交叉口(隆昌路地铁站4号口步行350米),上海市,,杨浦区
637,金腾山园区,14,69.67,,上海市松江区玉树路1715号,上海市,,松江区
638,核威集团上海工业园区,25,69.5747,工业园,上海市松江区涞坊路2039-2049号,上海市,,松江区
639,叶榭工业经济技术开发区,14,69.43,,叶茂路与富荣公路交叉口南80米,上海市,,松江区
640,中纺科技创业园,819,69.3141,,上海市青浦区青浦工业园区华浦路500号,上海市,,青浦区
641,致达产业园,26,69.2819,,上海市宝山区丰翔路1888号,上海市,,宝山区
642,宁华·翡克智联冷链谷,9,69.2544,,上海市青浦区天盈路688号,上海市,,青浦区
643,中海金鹤信息科技园,808,69.01,,上海市浦东新区张衡路198弄10号,上海市,,浦东新区
644,临港泥城产业区创造园,483,68.9573,,上海市浦东新区云汉路与秋兴路交叉口西南100米,上海市,,浦东新区
645,上海交科松江科创园,452,68.9044,,上海市松江区泗砖公路351号,上海市,,松江区
646,闵行开发区临港园区,13,68.89,,上海市浦东新区临港产业区旭日路501号,上海市,,浦东新区
647,亭林工业园区,40,68.6718,工业园,上海市金山区亭卫公路9299弄103号东侧东北方向50米,上海市,,金山区
648,上海国际健康产业园,133,68.5792,健康,上海市嘉定区嘉戬公路500号,上海市,,嘉定区
649,米登工业园区,14,68.1902,工业园,上海市松江区申港路2855弄1-8号,上海市,,松江区
650,聚惠领域总部园,7041,68.0646,,上海市奉贤区望园路1698弄,上海市,,奉贤区
651,塘镇633产业园,444,67.9809,,上海市浦东新区上丰路633号,上海市,,浦东新区
652,书香门地美学基地,5,67.79,,上海市青浦区新康路崧华路868号,上海市,,青浦区
653,西浜创业园,15,67.6967,,上海市宝山区杨行镇泰和路1888号西滨工业园,上海市,,宝山区
654,长白经济园区民星工业园,82,67.5742,工业园,上海市杨浦区民星路199号,上海市,,杨浦区
655,迪丰国际,21,67.4834,,上海市青浦区徐泾镇双联路168号(近徐龙路),上海市,,青浦区
656,上海春洲科技产业园,135,67.44,,泗泾镇泗砖公路639号,上海市,,松江区
657,天睿产业园,12,67.41,,上海市青浦区崧秋路418号,上海市,,青浦区
658,西宝生物上海国际医学园区生产基地,25,67.32,,芙蓉花路与蓝靛路交叉口东100米,上海市,,浦东新区
659,中汽联(临港)全球汽车零部件创新中心,483,67.2829,"汽车,汽车零部件",上海市浦东新区秋兴路875号,上海市,,浦东新区
660,上海漕河泾开发区闵行高科技园,612,67.16,,上海市闵行区莲花路1978号,上海市,,闵行区
661,东方国贸新天地,44,67.11,,北翟路3398号,上海市,,闵行区
662,新希望半岛科技园(创星园),196,67.0759,,上海市浦东新区张江镇新希望半岛科技园,上海市,,浦东新区
663,e通世界虹桥园南区,134,66.92,,华徐公路685号,上海市,,青浦区
664,板桥工业区,246,66.68,,上海市闵行区繁兴路300弄140号东北80米,上海市,,闵行区
665,虹桥东方国信商务广场,48,66.59,,福泉北路388号,上海市,,长宁区
666,张江·创新园(张江高科四标园区),97,66.2387,,上海市浦东新区张江高科技园区科苑路399号,上海市,,浦东新区
667,上海东景工业园,7,66.0561,工业园,上海市浦东新区金顺路16号-18号,上海市,,浦东新区
668,陇西工业苑西区,38,65.95,,,上海市,,闵行区
669,北虹桥绿地科技园,33,65.9,,上海市嘉定区江桥镇金沙江西路与沙河路交叉口,上海市,,嘉定区
670,明基商务广场D座,135,65.83,,淞虹路207号,上海市,,长宁区
671,芈展服务园,567,65.7313,,上海市浦东新区达秀路151号,上海市,,浦东新区
672,虹钦园,209,65.5575,,上海市徐汇区钦州北路1089号,上海市,,徐汇区
673,雅特兰汇智科技产业园,6208,65.51,,上海市奉贤区南桥镇金海公路3265号,上海市,,奉贤区
674,上海宝罗科技工业园,49,65.3833,工业园,上海市金山区山磊路38弄,上海市,,金山区
675,宝业集团工业园区,18,65.3423,工业园,上海市宝山区顾村镇沪太路5785号11号楼,上海市,,宝山区
676,金地威新中科园,39,65.13,,中春路1088号,上海市,,闵行区
677,鸿坤·动力时代,5,64.9133,,上海市闵行区春德路395号,上海市,,闵行区
678,上海大隆科技工业园,29,64.7192,工业园,上海市松江区洞库路398号,上海市,,松江区
679,上海长兴海洋科技港,5975,64.6875,,上海市崇明区长兴江南大道1333号,上海市,,崇明区
680,上海暮紫桥新材料产业园,264,64.45,新材料,川沙路3615号,上海市,,浦东新区
681,上海纺织鑫越园区,17,64.4284,"纺织,轻纺",上海市青浦区北青公路7171号,上海市,,青浦区
682,东软软件园,9,64.4236,IT软件,上海市闵行区紫月路1000号,上海市,,闵行区
683,中鑫企业广场,3853,64.1447,,上海市普陀区桃浦镇武威路88弄,上海市,,普陀区
684,绿亮科创园(高技公路),512,63.9258,,上海市松江区泗泾镇高技路655号,上海市,,松江区
685,张江青浦园,1545,63.8377,,上海市青浦区华纺路99弄99号,上海市,,青浦区
686,上海富民仓桥经济城,10,63.7649,,上海市松江区富永路88弄,上海市,,松江区
687,虹桥临空经济园(福泉北路),80,63.7,,上海市长宁区新泾镇福泉北路518号,上海市,,长宁区
688,歆翱汽车科技产业园,28,63.644,汽车,上海市青浦区沪青平公路2599号,上海市,,青浦区
689,鑫汇园区,299,63.5358,,上海市松江区环城路21号23栋,上海市,,松江区
690,朕天光电科技园,25,63.4716,光电,上海市浦东新区宣桥镇汇技路988号,上海市,,浦东新区
691,康达新能源材料产业园,27,63.34,"新材料,新能源",上海市奉贤区雷州路169号,上海市,,奉贤区
692,恒升创业园,29,63.1806,,上海市浦东新区康意路521-551,上海市,,浦东新区
693,上海宏旺实业中心工业园,231,63.17,工业园,上海市嘉定区漳翔路1288号,上海市,,嘉定区
694,华鑫科技园,229,63.16,,虹漕路39号,上海市,,徐汇区
695,上海周浦医学园区3期,520,63.0722,,上海市浦东新区芙蓉花路500弄,上海市,,浦东新区
696,上海电器工业园,20,63.0546,"电器,工业园",上海市嘉定区浏翔公路5555号,上海市,,嘉定区
697,中国(上海)创业者公共实训基地,385,63.0367,,上海市杨浦区国定东路200号,上海市,,杨浦区
698,上海金融谷(城北路),9,63,金融,上海市嘉定区城北路1818号,上海市,,嘉定区
699,格立盛产业园,20,62.9485,,上海市浦东新区大团镇海潮路139号,上海市,,浦东新区
700,新发展4号工业园区,7,62.7915,工业园,上海市浦东新区美桂南路220号,上海市,,浦东新区
701,维龙科创产业园,23,62.78,,奉浦开发区环城北路688,上海市,,奉贤区
702,滨江国际广场,143,62.41,,,上海市,,杨浦区
703,财智领地,302,62.09,,华新镇华腾路1218号,上海市,,青浦区
704,杨浦都市食品园区,145,62.0889,食品,上海市杨浦区波阳路290号,上海市,,杨浦区
705,东地科技园,13,61.9469,,上海市松江区泗陈公路3666号,上海市,,松江区
706,曹路创新产业园,1792,61.8523,,上海市浦东新区川沙路718号,上海市,,浦东新区
707,森马工业园2期,15,61.78,工业园,莲花南路2700弄10号,上海市,,闵行区
708,上海中科光电科技产研园区,43,61.4367,光电,上海市嘉定区汇善路685号,上海市,,嘉定区
709,车新物流园,37,61.3269,物流园,上海市松江区茸华路1232-1233号,上海市,,松江区
710,晟炎科创园,13,61.3058,,上海市浦东新区秋兴路与云汉路交叉口东南方向120米,上海市,,浦东新区
711,汉津智慧谷,24,61.3,,上海市闵行区莘庄工业区申富路611号,上海市,,闵行区
712,小美科技园,275,61.2321,,上海市嘉定区南翔镇浏翔公路955号,上海市,,嘉定区
713,莲谷新兴科技产业园,165,61.21,,莲花南路与元江路交叉口北260米,上海市,,闵行区
714,张江金山生物医药园,13,61.15,"生物医药,医药",上海市金山区豪业路,上海市,,金山区
715,上海宏仕发工业园,89,61,工业园,上海市浦东新区航头路118号,上海市,,浦东新区
716,东方供应链产业园,7,61,,蕰川公路与宝田路交叉路口往北约100米,上海市,,宝山区
717,上海大众创意设计园(上海国际汽车城创业园),82,60.6023,汽车,上海市嘉定区昌吉路156弄9号,上海市,,嘉定区
718,星月·金融湾,39,60.5114,金融,上海市浦东新区罗山路4088弄,上海市,,浦东新区
719,市北工业园区创新集聚区,51,60.43,工业园,江场西路550号,上海市,,静安区
720,齐来科技服务园区,187,60.0295,,上海市徐汇区桂平路508号,上海市,,徐汇区
721,长青企业广场,130,59.99,,,上海市,,浦东新区
722,三铭工业园区,13,59.8973,工业园,上海市松江区东兴路579号,上海市,,松江区
723,南门工业区,10,59.55,,G15沈海高速与嘉浏立交桥交叉口北约180米,上海市,,嘉定区
724,众璞园区,5384,59.35,,揽工路669号,上海市,,金山区
725,璨阳工业园,41,59.3221,工业园,上海市嘉定区北和公路1650号,上海市,,嘉定区
726,同济创园,1684,59.26,,淞南镇淞良路10号,上海市,,宝山区
727,欣昆科创商务园,59,59.2254,,上海市松江区赵家泾路389号,上海市,,松江区
728,杨浦都市工业经济园区,1165,59.0798,,上海市杨浦区包头路1135号,上海市,,杨浦区
729,迅豪科技产业园,28,59.0416,,上海市闵行区景联路258号,上海市,,闵行区
730,上海青浦出口加工区,26,59.0385,,上海市青浦区北青公路8118号,上海市,,青浦区
731,上海沪通企业集团科技园,9,59.0368,,上海市松江区昌业路333号,上海市,,松江区
732,锦和越界世博园,27,58.949,,上海市黄浦区半淞园路388号,上海市,,黄浦区
733,医谷PLUS,60,58.6116,,上海市浦东新区紫萍路与芙蓉花路交叉路口西侧,上海市,,浦东新区
734,上海复华高新技术园区(申霞路),19,58.5292,,上海市嘉定区申霞路358号,上海市,,嘉定区
735,上海育成生物科技园,66,58.3344,生物科技,上海市嘉定区兴贤路1180号,上海市,,嘉定区
736,上海鸿越工业园1区,16,58.26,工业园,上海市金山区鸿安路288号,上海市,,金山区
737,上海高时产业园,7,58.03,,上海市青浦区嘉松中路3299号,上海市,,青浦区
738,上海富利经济城工业园,83,57.8355,工业园,上海市闵行区纪鹤路505弄,上海市,,闵行区
739,骋翔88创新产业园,2143,57.63,,上海市嘉定区南翔镇陈翔路88号,上海市,,嘉定区
740,启迪漕河泾(中山)科技园,419,57.5249,,上海市松江区中创路68号,上海市,,松江区
741,企福智造产业园(赛卓智造产业园),28,57.514,智能制造,上海市金山区山阳镇板桥东路428号10栋,上海市,,金山区
742,上海大学科技园,192,57.3121,国家大学,上海市嘉定区城北路1355号,上海市,,嘉定区
743,518商务园区,84,57.2109,,上海市闵行区莘庄镇莘北路518号,上海市,,闵行区
744,上海临港海洋科技广场,14,57.03,,上海市浦东新区海洋一路399号,上海市,,浦东新区
745,四方科创中心,49,57.01,,曹安公路2883号,上海市,,嘉定区
746,智汇园,309,57,,上海市静安区汶水路301,上海市,,静安区
747,上海友喜国际高科技园区,155,56.9745,,上海市松江区方松街道文翔东路58号,上海市,,松江区
748,上海嘉定工业区辛勤园区,1634,56.91,,兴贤路与新甸路交叉口西80米,上海市,,嘉定区
749,三联发展F5工业园区,272,56.85,工业园,"上海市浦东新区希雅路11,33,55,69号",上海市,,浦东新区
750,耀江国际广场,551,56.65,,,上海市,,虹口区
751,上海信息服务产业基地,101,56.65,,上海市浦东新区唐镇卡园二路108号,上海市,,浦东新区
752,南虹桥新雅科创园,79,56.6461,,上海市松江区九亭镇九泾路701号,上海市,,松江区
753,平安工业园区,6,56.5327,工业园,上海市奉贤区安泰路753号,上海市,,奉贤区
754,虹桥时代广场,30,56.48,,上海市青浦区高光路与高泾支路交叉口,上海市,,青浦区
755,铁联企业园区,361,56.3298,,上海市普陀区桃浦镇绥德路470弄102号,上海市,,普陀区
756,桂中园(桂平路),266,56.2562,,上海市徐汇区桂平路481号,上海市,,徐汇区
757,上海华飞产业园,17,56.2523,,卫亭路与金闻路交叉口西180米,上海市,,浦东新区
758,金泽工业园,25,56.2163,工业园,上海市青浦区金泽镇金大路88号,上海市,,青浦区
759,中电绿色科技园,117,56.14,,上海市浦东新区北蔡镇绿科路271号,上海市,,浦东新区
760,曹安商务园区,22,56.056,,上海市嘉定区安亭镇曹安公路4588号,上海市,,嘉定区
761,东方蓝海国际广场,427,56.05,,黄兴路1728号,上海市,,杨浦区
762,上海浦东软件园(懿德路),87,56.04,IT软件,周陈路与耀翔路交叉口东南160米,上海市,,浦东新区
763,东华大学国家大学科技园(福泉路),1687,55.9821,国家大学,上海市长宁区福泉路52号,上海市,,长宁区
764,华泾工业园,69,55.9506,工业园,上海市徐汇区华泾路1305号,上海市,,徐汇区
765,上海锐环科技园,18,55.8996,,上海市松江区光华路489号,上海市,,松江区
766,2121创意园,242,55.7858,,上海市宝山区宝杨路2121号,上海市,,宝山区
767,天万国际物流园,4161,55.7754,物流园,上海市奉贤区青村镇金钱公路3329号(建筑工地西大门),上海市,,奉贤区
768,同济大学国家大学科技园(国康路),1731,55.67,国家大学,国康路46弄之1-4号,上海市,,杨浦区
769,榆松工业园区,39,55.6186,工业园,上海市松江区玉阳路838弄14号北侧2楼,上海市,,松江区
770,浪潮科创园,11,55.5343,,上海市青浦区竹盈路160号,上海市,,青浦区
771,港城集团·海立方科技园,1464,55.42,,上海市浦东新区新城镇海基六路218弄,上海市,,浦东新区
772,F6工业园区,13,55.36,工业园,上海市浦东新区富特东二路500号,上海市,,浦东新区
773,上海鼎富科创产业园,25,55.3396,,上海市闵行区都会路1289号,上海市,,闵行区
774,虹桥国际商务广场,151,55.13,,虹桥镇合川路2679号(合川路地铁站3号口步行190米),上海市,,闵行区
775,利丰广场,151,55.13,,虹桥镇宜山路2000号(合川路地铁站1号口步行200米),上海市,,闵行区
776,联西村科技创业园,70,55.1288,,上海市嘉定区安亭镇黄渡镇联西路11号,上海市,,嘉定区
777,阿普达产业园,15,55.128,,上海市金山区林盛路65附近,上海市,,金山区
778,上海电子物联产业园,277,55.0512,"电子,物联网",上海市闵行区景联路439号,上海市,,闵行区
779,优任莘庄工业区,191,54.9761,,上海市闵行区春东路420号,上海市,,闵行区
780,华盛国际商务花园,47,54.93,,上海市普陀区古浪路415弄,上海市,,普陀区
781,康桥E·ONE中央工园,359,54.9265,,上海市浦东新区康桥东路111号,上海市,,浦东新区
782,上海集成电路设计产业园(集创公园),30,54.81,集成电路,银冬路491号,上海市,,浦东新区
783,恒旺食品科技产业园,11,54.72,食品,上海市青浦区外青松公路与鹤民路交叉路口往西北约200米,上海市,,青浦区
784,浦江智地精品商务园,55,54.7,,闵行区浦江镇万泰路,上海市,,闵行区
785,百仕达食品产业园,21,54.6177,食品,上海市松江区新飞路961号,上海市,,松江区
786,创亿国际企业园,73,54.49,,上海市松江区松江工业区南乐路1276弄115号,上海市,,松江区
787,烁谷产业园,6,54.46,,上海市奉贤区大叶公路8828号,上海市,,奉贤区
788,稳利达·乘方科技园,34,54.36,,上海市嘉定区唐行镇,上海市,,嘉定区
789,梁杭科创商务园,32,54.3063,,上海市嘉定区金园五路366号,上海市,,嘉定区
790,桃浦文化创意园,140,54.16,"文化,文化创意",上海市普陀区武威东路1518号,上海市,,普陀区
791,高航物流园区,96,54.1532,物流园,上海市浦东新区华申路80号,上海市,,浦东新区
792,上海新曹杨集团公司高新技术工业园区A区,212,54.0882,工业园,上海市普陀区金沙江路1340弄172支弄14号,上海市,,普陀区
793,上海金工生物医药标准产业园B区,590,54,"生物医药,医药",上海市金山区豪业路与金争路交叉路口往南约140米,上海市,,金山区
794,新业鸿园区,36,53.8954,,上海市松江区九亭镇涞坊路2185号,上海市,,松江区
795,慧高光创园,64,53.89,,,上海市,,闵行区
796,上海凯乐产业园,9,53.8428,,上海市松江区新桥镇工业区新润路388号,上海市,,松江区
797,上海金汇泰磊经济园区,7458,53.82,,上海市奉贤区金汇镇大叶公路6758号,上海市,,奉贤区
798,宝达诚商务园,97,53.7638,,上海市松江区中山街道茸兴路288弄,上海市,,松江区
799,企福科技园,35,53.49,,上海市奉贤区金碧路585,上海市,,奉贤区
800,江扬汽车产业园,63,53.2947,汽车,上海市宝山区淞南镇江杨南路1377号10区5A,上海市,,宝山区
801,588创意园（闻企园区）,17,53.11,,江桥镇金园一路588号,上海市,,嘉定区
802,虹桥国际科技广场,153,53,,金钟路999号,上海市,,长宁区
803,KBT388科技园,21,52.87,,上海市浦东新区伽利略路388号,上海市,,浦东新区
804,上海闵松工业园区,21,52.8124,工业园,上海市松江区港兴路151号,上海市,,松江区
805,真北坊,204,52.72,,上海市普陀区同普路1225弄之1-18号,上海市,,普陀区
806,派米雷产业园(南桥园区),28,52.4838,,上海市奉贤区张翁庙路(近环城西路),上海市,,奉贤区
807,中企联合大厦,62,52.25,,南桥镇望园南路南港路西侧,上海市,,奉贤区
808,松沪工业B区,52,52.2216,,上海市松江区洋河浜路3号,上海市,,松江区
809,世界手工艺产业博览园,68,52.18,,上海市青浦区诸光路288号,上海市,,青浦区
810,国家生物医药基地(张家药谷),47,52.17,"生物医药,医药",上海市浦东新区哈雷路917弄,上海市,,浦东新区
811,南汇工业园区惠南工业园,14,52.0508,工业园,上海市浦东新区沪南公路9826-9628号,上海市,,浦东新区
812,上海中科高科技工业园(招贤路),41,51.587,工业园,上海市嘉定区招贤路778号,上海市,,嘉定区
813,惠尔利现代服务业产业园,1146,51.51,,七号路与六号路交叉口西240米,上海市,,奉贤区
814,上海新城经济区·一区,63,51.42,,沪青平公路3815附近,上海市,,青浦区
815,金地威新·达闼人工智能创新产业基地,12,51.07,人工智能,上海市闵行区东川路3966号,上海市,,闵行区
816,柏树科技园,1823,50.9,,上海市虹口区中山北一路1230号柏树大厦A区,上海市,,虹口区
817,上海科技金融产业集聚区,14,50.85,金融,上海市普陀区云岭东路89号,上海市,,普陀区
818,张江·亚兰德商务研发总部,32,50.81,,张江高科技园区伽利略路338号,上海市,,浦东新区
819,华电机器人智能制造产业园,17,50.74,"机器人,智能制造",江河路西南30米,上海市,,松江区
820,金桥出口加工区21号,11,50.56,,金藏路366号,上海市,,浦东新区
821,金桥万创中心,36,50.52,,金苏路200号,上海市,,浦东新区
822,金千工贸园,77,50.5027,,上海市浦东新区下沙镇,上海市,,浦东新区
823,上海南汇留学人员创业园,169,50.3569,,上海市浦东新区康新公路3377号,上海市,,浦东新区
824,梁杭创意园,15,50.32,,上海市宝山区园光路291号,上海市,,宝山区
825,市北高新区块链生态谷,30,50.31,,上海市静安区康宁路288弄,上海市,,静安区
826,上海赢产现代科技产业园,54,50.1385,,上海市浦东新区宣春路182号,上海市,,浦东新区
827,投丰科创园,23,50.1384,,上海市金山区亭枫公路6439-6441号,上海市,,金山区
828,上海市文化创意产业园区,206,50.11,"文化,文化创意",上海市静安区灵石路695号,上海市,,静安区
829,新星工业园区,7,50.11,工业园,上海市宝山区呼兰路519号附近,上海市,,宝山区
830,上海晶碧科技园,54,49.98,,上海市闵行区都会路1999-2059号,上海市,,闵行区
831,沪升·E谷,11,49.92,,上海市青浦区赵巷镇崧煌路388号,上海市,,青浦区
832,钦汇园,105,49.918,,上海市徐汇区漕河泾新兴技术开发区钦州北路1066号,上海市,,徐汇区
833,正珏科技产业园,149,49.88,,上海市闵行区莘庄工业区颛桥新源路1356弄1-7号(元江路口),上海市,,闵行区
834,临港润材智能产业园,22,49.6634,,上海市奉贤区新杨公路1666号,上海市,,奉贤区
835,上海菲豪都市园,224,49.5916,,上海市闵行区梅陇镇双柏路888号,上海市,,闵行区
836,M50创意园,256,49.57,,上海市普陀区莫干山路50号,上海市,,普陀区
837,张江创业源及配套设施项目(一期)南区,94,49.52,,蔡伦路与达尔文路交叉口东北160米,上海市,,浦东新区
838,金蝶软件园(晨晖路),32,49.5063,IT软件,上海市浦东新区张江高科技园区晨晖路88号,上海市,,浦东新区
839,外滩SOHO,287,49.42,,新开河北路10号(豫园地铁站7号口步行400米),上海市,,黄浦区
840,烨博(马陆)产业园,7,49.2068,,上海市嘉定区宝安公路2525号,上海市,,嘉定区
841,浦东软件园三林园,85,49.1524,IT软件,上海市浦东新区懿德路519号,上海市,,浦东新区
842,博济美兰湖,256,49.0753,,上海市宝山区罗店镇月罗公路2255号6栋,上海市,,宝山区
843,金桥出口加工区4号,27,49.01,,,上海市,,浦东新区
844,上海中科高科技工业园(叶城路),41,49,工业园,上海市嘉定区叶城路1411号,上海市,,嘉定区
845,上海新发创运工业园(东胜路),30,48.9999,工业园,上海市浦东新区东胜路38号A9栋附近,上海市,,浦东新区
846,芗城物流园区,6,48.9479,物流园,上海市嘉定区马陆镇李宝路999号,上海市,,嘉定区
847,海尚世界智慧天地,37,48.81,,闸殷路307号,上海市,,杨浦区
848,环宇集团上海智能产业园,74,48.5771,,上海市浦东新区沈梅路600号,上海市,,浦东新区
849,鹤望·智谷,13,48.57,,外青松公路3236号,上海市,,青浦区
850,聚慧创客园洞泾分园,10,48.4781,,上海市松江区洞厍路168号,上海市,,松江区
851,金佰克科技园,60,48.407,,上海市嘉定区南翔镇惠平路77号7号楼,上海市,,嘉定区
852,W90国际科创中心,103,48.23,,建豪路与建韵路交叉口东北140米,上海市,,浦东新区
853,上海金都国际商务园,742,48.1899,,上海市奉贤区南桥镇金海公路3660号,上海市,,奉贤区
854,蓝光科技园,4385,48.13,,上海市浦东新区芳春路400附近,上海市,,浦东新区
855,宝石园,252,48.0878,,上海市徐汇区古美路1595号,上海市,,徐汇区
856,上海漕河泾新兴技术开发区,270,48.05,,上海市徐汇区宜山路868号,上海市,,徐汇区
857,财智金岸(上海菊园软件信息孵化器),1248,48,IT软件,上海市嘉定区树屏路588弄,上海市,,嘉定区
858,杜邦中国总部,7,48,,蔡伦路600号,上海市,,浦东新区
859,中国北斗产业基地,64,47.9889,,上海市青浦区徐泾镇高泾路599号,上海市,,青浦区
860,浦江科学园,8,47.82,,上海市闵行区浦江镇恒南路689号,上海市,,闵行区
861,上海奉贤南桥经济园区,225,47.55,,奉贤区解放东路1018弄绿地翡翠国际广场,上海市,,奉贤区
862,莘朱路1398弄65号工业园,53,47.5234,工业园,上海市闵行区莘朱路1398弄65号,上海市,,闵行区
863,上海长江软件园,428,47.51,IT软件,上海市宝山区长江南路180号,上海市,,宝山区
864,闽升智造园机械园区,8,47.51,智能制造,上海市奉贤区平庄东路与富民路交叉路口往西约130米,上海市,,奉贤区
865,上海明珠创意园,393,47.42,,上海市虹口区广纪路,上海市,,虹口区
866,上海中国非遗总部,26,47.3451,,上海市金山区朱枫公路8678号,上海市,,金山区
867,由度金闽园,18,47.1926,,上海市浦东新区金闽路539号,上海市,,浦东新区
868,蕴薇产业园,15,47.1914,,上海市浦东新区宣中路268附近,上海市,,浦东新区
869,世范产业园,11,47.113,,天工路80号,上海市,,金山区
870,万金中心(新龙路),78,47.08,,新龙路360弄万金中心T3营销中心,上海市,,闵行区
871,上海海鸥茸锦智谷,57,47.03,,明南路288弄1号,上海市,,松江区
872,东方易云上海健康产业总部基地,101,46.9889,健康,上海市青浦区徐祥路207号,上海市,,青浦区
873,复旦软件园,2586,46.86,IT软件,隆昌路588号(周家嘴路与双阳支路交汇处),上海市,,杨浦区
874,上海宇神工业园,27,46.8562,工业园,上海市松江区申北一路99弄1-12号,上海市,,松江区
875,翔合汽车产业园,5,46.8169,汽车,上海市宝山区呼兰路99号,上海市,,宝山区
876,万香国际创新港,316,46.8054,,上海市浦东新区航都路与航头路交汇处东南侧(航都路18号),上海市,,浦东新区
